Pays	Zone géographique	ID produit	Catégorie	Sous-catégorie	Nom du produit	Montant des ventes	Quantité	Remise	Profit	Retourné
France	Centre	MOB-BI-10000311	Mobilier	Bibliothèques	Dania Bibliothèque. Classique	652.32	2	0.1	7.2	Non
Danemark	Nord	FOU-ÉT-10000911	Fournitures de bureau	Étiquettes	Hon Étiquettes d'expédition. Blanc	17.055	3	0.5	-7.515	Non
France	Centre	FOU-ST-10004540	Fournitures de bureau	Stockage	Fellowes Boîte. Métal	84.375	5	0.1	33.675	Oui
France	Centre	FOU-AR-10002287	Fournitures de bureau	Art	Binney & Smith Marqueurs. Tailles assorties	299.97	11	0	50.82	Oui
France	Centre	FOU-ST-10004184	Fournitures de bureau	Stockage	Fellowes Dossiers. Bleu	95.04	4	0.1	42.24	Oui
France	Centre	FOU-ST-10000697	Fournitures de bureau	Stockage	Tenex Boîte. Industriel	45.846	3	0.1	18.846	Oui
Danemark	Nord	FOU-CL-10004987	Fournitures de bureau	Classeurs	Acco Machine à relier. Économique	25.545	1	0.5	-10.755	Non
Espagne	Sud	FOU-ÉL-10002460	Fournitures de bureau	Éléments de fixation	Stockwell Épingles. Emballage en vrac	108.24	8	0	33.36	Non
Italie	Sud	FOU-ST-10004184	Fournitures de bureau	Stockage	Fellowes Dossiers. Bleu	47.52	3	0.4	7.92	Non
Italie	Sud	FOU-CL-10001076	Fournitures de bureau	Classeurs	Wilson Jones Machine à relier. Clair	145.26	3	0	43.56	Non
Italie	Sud	FOU-EN-10004350	Fournitures de bureau	Enveloppes	GlobeWeis Enveloppe professionnelle. Recyclé	48.42	3	0	21.24	Non
France	Centre	FOU-AR-10004134	Fournitures de bureau	Art	Boston Taille-crayon. Emballage en vrac	58.44	2	0	7.56	Non
Allemagne	Centre	PRO-AC-10003326	Produits technologiques	Accessoires	Memorex Routeur. Programmable	495.42	2	0	232.8	Non
France	Centre	PRO-TÉ-10001602	Produits technologiques	Téléphones	Samsung Casque. Tailles assorties	64.6425	1	0.15	24.3225	Non
France	Centre	FOU-CL-10000456	Fournitures de bureau	Classeurs	Acco Machine à relier. Clair	202.2	4	0	22.2	Non
Italie	Sud	FOU-AR-10004093	Fournitures de bureau	Art	Boston Toile. Emballage en vrac	53.91	1	0	12.39	Non
Italie	Sud	MOB-BI-10001228	Mobilier	Bibliothèques	Bush Bibliothèque classique. Classique	825.36	2	0	338.34	Non
Italie	Sud	FOU-ST-10000330	Fournitures de bureau	Stockage	Rogers Casiers. Taille réelle	888.93	7	0.4	59.22	Non
Belgique	Centre	FOU-ST-10004768	Fournitures de bureau	Stockage	Tenex Chariot. Métal	666	5	0	119.85	Non
Belgique	Centre	FOU-CL-10002858	Fournitures de bureau	Classeurs	Avery Onglets. Clair	11.58	2	0	3.12	Non
Italie	Sud	FOU-AR-10001589	Fournitures de bureau	Art	Boston Marqueurs. Métal	27.63	1	0	4.14	Non
Allemagne	Centre	FOU-CL-10000117	Fournitures de bureau	Classeurs	Avery Couverture de classeur. Recyclé	11.43	1	0	4.11	Non
Allemagne	Centre	PRO-PH-10003184	Produits technologiques	Photocopieurs	Sharp Télécopieur. Livré par deux	591.3	2	0	53.16	Non
Italie	Sud	MOB-CH-10002447	Mobilier	Chaises	Harbour Creations Tabouret. Livré par deux	72.948	1	0.6	-56.562	Non
Italie	Sud	FOU-ÉT-10004965	Fournitures de bureau	Étiquettes	Harbour Creations Étiquettes couleur. Ajustable	54	5	0	7.5	Non
Italie	Sud	FOU-PA-10002691	Fournitures de bureau	Papier	SanDisk Fiches mémo. Multicolore	55.17	3	0	2.7	Non
Italie	Sud	MOB-CH-10000002	Mobilier	Chaises	Office Star Chaise de plage. Livré par deux	69.228	3	0.6	-95.202	Non
Italie	Sud	FOU-ÉL-10000332	Fournitures de bureau	Éléments de fixation	Advantus Agrafes. Par paquet de 12	41.16	4	0	2.88	Non
Allemagne	Centre	MOB-ME-10004760	Mobilier	Meubles	Advantus Ampoule. Multi-emballage	20.13	1	0	4.02	Non
Allemagne	Centre	FOU-CL-10000504	Fournitures de bureau	Classeurs	Cardinal Classeur. Clair	132.9	10	0	3.9	Non
France	Centre	FOU-AR-10003846	Fournitures de bureau	Art	Stanley Marqueurs. Tailles assorties	177.66	7	0	58.59	Non
France	Centre	FOU-AR-10004648	Fournitures de bureau	Art	Stanley Toile. Bleu	445.23	9	0	71.01	Non
France	Centre	FOU-AR-10004722	Fournitures de bureau	Art	Boston Stylos. Bleu	71.1	5	0	1.35	Non
Norvège	Nord	FOU-CL-10002818	Fournitures de bureau	Classeurs	Acco Couverture de classeur. Clair	12.78	1	0	5.49	Non
Norvège	Nord	FOU-CL-10004334	Fournitures de bureau	Classeurs	Avery Classeur. Économique	51.6	4	0	20.04	Non
Norvège	Nord	PRO-AC-10001620	Produits technologiques	Accessoires	Memorex Clé USB. Économique	88.2	3	0	18.45	Non
Portugal	Sud	PRO-PH-10000815	Produits technologiques	Photocopieurs	Hewlett Télécopieur sans fil. Livré par deux	570.285	3	0.5	-216.765	Non
Espagne	Sud	FOU-ÉT-10004391	Fournitures de bureau	Étiquettes	Smead Étiquettes repositionnables. Blanc	31.5	3	0	10.08	Non
France	Centre	FOU-ST-10003576	Fournitures de bureau	Stockage	Smead Plateaux. Métal	85.59	2	0.1	2.85	Oui
France	Centre	MOB-ME-10002026	Mobilier	Meubles	Rubvermaid Plateau d'empilement. Durable	177.36	8	0	0	Oui
France	Centre	FOU-PA-10000998	Fournitures de bureau	Papier	Green Bar Cahier. Qualité supérieure	59.58	2	0	21.42	Oui
France	Centre	FOU-FO-10004526	Fournitures de bureau	Fournitures	Elite Rasoir. Rectangulaire	345.33	9	0	162.27	Oui
France	Centre	FOU-ST-10000592	Fournitures de bureau	Stockage	Rogers Boîte. Taille réelle	108	5	0.1	2.4	Oui
France	Centre	FOU-AR-10004485	Fournitures de bureau	Art	BIC Surligneurs. Tailles assorties	88.44	4	0	15.84	Oui
France	Centre	FOU-CL-10001111	Fournitures de bureau	Classeurs	Ibico Couverture de classeur. Durable	136.35	9	0	16.2	Oui
France	Centre	FOU-CL-10002872	Fournitures de bureau	Classeurs	Cardinal Classeur. Économique	41.49	6	0.5	-10.89	Non
France	Centre	MOB-BI-10002377	Mobilier	Bibliothèques	Safco Bibliothèque. Classique	119.184	2	0.6	-143.076	Non
France	Centre	FOU-EN-10000880	Fournitures de bureau	Enveloppes	Kraft Enveloppe à fermoir. Recyclé	11.7	3	0.5	-8.01	Non
France	Centre	FOU-ST-10002526	Fournitures de bureau	Stockage	Rogers Dossiers. Taille réelle	27.648	1	0.1	-0.642	Non
Allemagne	Centre	FOU-CL-10001907	Fournitures de bureau	Classeurs	Acco Renforts de perforations. Recyclé	21.06	3	0	10.53	Non
Allemagne	Centre	FOU-CL-10001576	Fournitures de bureau	Classeurs	Avery Renforts de perforations. Durable	11.82	2	0	4.2	Non
France	Centre	FOU-EN-10002001	Fournitures de bureau	Enveloppes	GlobeWeis Auto-adhésive. Livré par 50	21.39	1	0	0	Non
France	Centre	FOU-AR-10000531	Fournitures de bureau	Art	Binney & Smith Taille-crayon. Métal	139.65	5	0	15.3	Non
Italie	Sud	FOU-AR-10000828	Fournitures de bureau	Art	Sanford Taille-crayon. Emballage en vrac	78.3	3	0	20.34	Non
Allemagne	Centre	PRO-TÉ-10001511	Produits technologiques	Téléphones	Motorola Amplificateur de signal. Tailles assorties	583.92	8	0.5	-58.56	Non
Allemagne	Centre	PRO-PH-10004986	Produits technologiques	Photocopieurs	HP Télécopieur et photocopieur. Numérique	86.265	1	0.5	-0.015	Non
Allemagne	Centre	FOU-PA-10004421	Fournitures de bureau	Papier	Xerox Cahier. Qualité supérieure	13.185	1	0.5	-7.935	Non
Espagne	Sud	MOB-CH-10004223	Mobilier	Chaises	SAFCO Chaise pliante. Noir	266.496	4	0.2	23.256	Non
Espagne	Sud	MOB-BI-10003777	Mobilier	Bibliothèques	Ikea Bibliothèque. Noir	729.48	2	0	240.72	Non
Espagne	Sud	FOU-AR-10002251	Fournitures de bureau	Art	BIC Toile. Tailles assorties	56.88	1	0	0.54	Non
Espagne	Sud	FOU-AR-10004917	Fournitures de bureau	Art	Sanford Taille-crayon. Tailles assorties	116.04	4	0	12.72	Non
Espagne	Sud	FOU-AR-10001493	Fournitures de bureau	Art	Boston Surligneurs. Tailles assorties	44.1	2	0	7.92	Non
Allemagne	Centre	FOU-ST-10000950	Fournitures de bureau	Stockage	Fellowes Chariot. Industriel	248.022	2	0.1	8.262	Non
Allemagne	Centre	PRO-PH-10003579	Produits technologiques	Photocopieurs	Brother Télécopieur sans fil. Livré par deux	378.81	1	0	140.13	Non
Espagne	Sud	FOU-FO-10001503	Fournitures de bureau	Fournitures	Acme Cutter. Bleu	37.8	1	0	18.12	Non
Espagne	Sud	PRO-TÉ-10003284	Produits technologiques	Téléphones	Cisco Chargeur. Taille réelle	587.412	1	0.1	104.412	Non
France	Centre	PRO-PH-10004499	Produits technologiques	Photocopieurs	Hewlett Photocopieur. Rouge	549.927	6	0.65	-235.773	Non
France	Centre	PRO-AC-10003725	Produits technologiques	Accessoires	Logitech Clavier. Recyclé	44.13	2	0.5	-7.95	Non
France	Centre	FOU-PA-10002691	Fournitures de bureau	Papier	SanDisk Fiches mémo. Multicolore	45.975	5	0.5	-41.475	Non
France	Centre	PRO-MA-10002294	Produits technologiques	Machines	Konica Téléphone. Blanc	88.83	3	0.65	-76.14	Non
Royaume-Uni	Nord	PRO-TÉ-10004400	Produits technologiques	Téléphones	Cisco Casque. Taille réelle	161.514	2	0.1	43.014	Non
Suède	Nord	FOU-AR-10000397	Fournitures de bureau	Art	Boston Taille-crayon. Métal	90.63	6	0.5	-61.65	Non
France	Centre	FOU-AR-10001216	Fournitures de bureau	Art	Binney & Smith Stylos. Tailles assorties	30.24	2	0	10.86	Non
France	Centre	FOU-ÉT-10002998	Fournitures de bureau	Étiquettes	Harbour Creations Étiquettes de dossier. Durable	27.36	3	0	5.94	Non
France	Centre	FOU-ST-10001588	Fournitures de bureau	Stockage	Tenex Rayonnage. Industriel	148.878	3	0.1	14.868	Non
France	Centre	FOU-ÉT-10001134	Fournitures de bureau	Étiquettes	Novimex Étiquettes légales. Blanc	31.41	3	0	10.62	Non
France	Centre	FOU-CL-10003798	Fournitures de bureau	Classeurs	Avery Couverture de classeur. Durable	50.28	4	0	6.48	Non
France	Centre	PRO-MA-10001509	Produits technologiques	Machines	Konica Imprimante de tickets. Multicolore	207.825	2	0.15	12.225	Non
France	Centre	FOU-AR-10002119	Fournitures de bureau	Art	Stanley Taille-crayon. Tailles assorties	111.84	4	0	4.44	Non
France	Centre	FOU-CL-10004223	Fournitures de bureau	Classeurs	Ibico Perforatrice. Durable	159.75	5	0	59.1	Non
Italie	Sud	FOU-ÉL-10000034	Fournitures de bureau	Éléments de fixation	Stockwell Colliers. Par paquet de 12	109.62	6	0	21.78	Non
Allemagne	Centre	FOU-CL-10001473	Fournitures de bureau	Classeurs	Cardinal Couverture de classeur. Clair	80.22	7	0	20.79	Non
Allemagne	Centre	FOU-AR-10004067	Fournitures de bureau	Art	Binney & Smith Taille-crayon. Bleu	133.35	5	0	5.25	Non
Pays-Bas	Centre	MOB-ME-10001366	Mobilier	Meubles	Advantus Cadre. Multi-emballage	266.832	3	0.2	89.982	Oui
Pays-Bas	Centre	FOU-ST-10002344	Fournitures de bureau	Stockage	Rogers Plateaux. Métal	91.125	3	0.5	-1.845	Oui
Pays-Bas	Centre	FOU-EN-10001463	Fournitures de bureau	Enveloppes	GlobeWeis Enveloppe kraft. Livré par 50	54.78	4	0.5	-18.66	Oui
Espagne	Sud	FOU-CL-10002162	Fournitures de bureau	Classeurs	Cardinal Perforatrice. Clair	84.78	3	0	17.73	Non
Espagne	Sud	MOB-BI-10001559	Mobilier	Bibliothèques	Ikea Étagère d'angle. Métal	367.56	3	0	14.67	Non
Espagne	Sud	FOU-ÉL-10001147	Fournitures de bureau	Éléments de fixation	Stockwell Élastiques. Par paquet de 12	47.88	3	0	4.77	Non
Espagne	Sud	FOU-ST-10000883	Fournitures de bureau	Stockage	Smead Dossiers. Métal	59.616	4	0.1	-2.664	Non
Espagne	Sud	FOU-AR-10001026	Fournitures de bureau	Art	Binney & Smith Carnet de croquis. Bleu	92.64	2	0	24.06	Non
Royaume-Uni	Nord	MOB-CH-10000407	Mobilier	Chaises	Harbour Creations Rocking chair. Livré par deux	268.812	2	0.1	23.892	Non
Allemagne	Centre	FOU-AR-10003797	Fournitures de bureau	Art	Stanley Taille-crayon. Bleu	123.9	5	0	39.6	Non
Suisse	Centre	FOU-AR-10003967	Fournitures de bureau	Art	BIC Surligneurs. Bleu	18.93	1	0	7.56	Non
Suisse	Centre	MOB-BI-10000926	Mobilier	Bibliothèques	Sauder Bibliothèque. Blanc	780.3	2	0	117	Non
Espagne	Sud	MOB-BI-10003263	Mobilier	Bibliothèques	Dania Bibliothèque classique. Classique	821.52	2	0	353.22	Non
Espagne	Sud	FOU-AR-10002800	Fournitures de bureau	Art	Boston Surligneurs. Emballage en vrac	19.14	1	0	4.2	Non
France	Centre	PRO-MA-10000998	Produits technologiques	Machines	Panasonic Imprimante de tickets. Multicolore	205.53	2	0.15	26.55	Non
France	Centre	FOU-EN-10003515	Fournitures de bureau	Enveloppes	Kraft Enveloppe à fermoir. Rouge	50.16	4	0	24	Non
Allemagne	Centre	FOU-CL-10001681	Fournitures de bureau	Classeurs	Avery Couverture de classeur. Clair	26.325	5	0.5	-14.325	Non
Allemagne	Centre	FOU-ST-10002968	Fournitures de bureau	Stockage	Tenex Chariot. Bleu	214.608	4	0.6	-220.032	Non
Espagne	Sud	FOU-ST-10002992	Fournitures de bureau	Stockage	Eldon Boîte. Bleu	9.234	1	0.1	1.614	Non
Espagne	Sud	FOU-AR-10004756	Fournitures de bureau	Art	BIC Marqueurs. Bleu	26.43	1	0	0.51	Non
Pays-Bas	Centre	MOB-BI-10004943	Mobilier	Bibliothèques	Sauder Bibliothèque classique. Noir	874.68	4	0.5	-577.32	Non
Pays-Bas	Centre	MOB-TA-10000751	Mobilier	Tables	Barricks Table basse. Assemblé	272.673	3	0.7	-499.977	Non
Espagne	Sud	MOB-CH-10000171	Mobilier	Chaises	Hon Fauteuil. Noir	727.536	2	0.2	-81.864	Non
Espagne	Sud	MOB-ME-10000080	Mobilier	Meubles	Rubvermaid Butée de porte. Qualité supérieure	127.26	3	0	19.08	Non
France	Centre	FOU-ÉL-10002958	Fournitures de bureau	Électroménager	Hoover Micro-ondes. Noir	277.263	1	0.1	-0.027	Non
France	Centre	MOB-CH-10002406	Mobilier	Chaises	SAFCO Fauteuil. Noir	4544.1	11	0.1	1868.13	Non
France	Centre	FOU-AR-10003181	Fournitures de bureau	Art	Stanley Surligneurs. Emballage en vrac	89.82	6	0	32.22	Non
France	Centre	PRO-TÉ-10000727	Produits technologiques	Téléphones	Nokia Dispositif audio. Emballage en vrac	283.611	2	0.15	43.371	Non
France	Centre	FOU-PA-10000057	Fournitures de bureau	Papier	Enermax Papier parchemin. Qualité supérieure	61.56	4	0	0	Non
France	Centre	FOU-AR-10002800	Fournitures de bureau	Art	Boston Surligneurs. Emballage en vrac	38.28	2	0	8.4	Non
France	Centre	PRO-TÉ-10001762	Produits technologiques	Téléphones	Apple Smartphone. Emballage en vrac	104.8815	1	0.15	30.8415	Non
France	Centre	FOU-ÉL-10004124	Fournitures de bureau	Éléments de fixation	OIC Épingles. Tailles assorties	34.56	3	0	13.77	Non
Allemagne	Centre	FOU-ÉL-10003119	Fournitures de bureau	Éléments de fixation	OIC Agrafes. Tailles assorties	61.53	7	0	23.31	Non
Allemagne	Centre	FOU-ÉL-10002075	Fournitures de bureau	Éléments de fixation	Advantus Épingles. Tailles assorties	55.2	5	0	8.25	Non
France	Centre	FOU-CL-10001576	Fournitures de bureau	Classeurs	Avery Renforts de perforations. Durable	23.64	4	0	8.4	Oui
France	Centre	PRO-MA-10004137	Produits technologiques	Machines	Panasonic Calculatrice. Durable	128.52	3	0.15	-1.53	Oui
Suisse	Centre	FOU-ST-10002872	Fournitures de bureau	Stockage	Smead Boîte. Taille réelle	32.4	3	0	8.37	Non
Suisse	Centre	FOU-ÉL-10003491	Fournitures de bureau	Éléments de fixation	Stockwell Épingles. Tailles assorties	21.18	2	0	5.88	Non
Italie	Sud	FOU-ÉT-10000461	Fournitures de bureau	Étiquettes	Novimex Étiquettes de dossier. Ajustable	18.45	3	0	3.69	Non
Italie	Sud	FOU-AR-10003938	Fournitures de bureau	Art	Binney & Smith Toile. Tailles assorties	163.62	3	0	78.48	Non
Italie	Sud	MOB-TA-10000696	Mobilier	Tables	Barricks Table ronde. Noir	1003.02	4	0.5	-942.9	Non
Italie	Sud	FOU-ST-10003644	Fournitures de bureau	Stockage	Smead Plateaux. Bleu	29.088	1	0.4	-13.092	Non
Italie	Sud	PRO-MA-10002363	Produits technologiques	Machines	Okidata Calculatrice. Rouge	29.664	1	0.4	-5.466	Non
Italie	Sud	FOU-CL-10003798	Fournitures de bureau	Classeurs	Avery Couverture de classeur. Durable	62.85	5	0	8.1	Non
Italie	Sud	FOU-CL-10001059	Fournitures de bureau	Classeurs	Acco Couverture de classeur. Recyclé	41.04	3	0	12.24	Non
Italie	Sud	PRO-MA-10002856	Produits technologiques	Machines	Konica Imprimante. Rouge	476.982	3	0.4	39.672	Non
Italie	Sud	FOU-CL-10000117	Fournitures de bureau	Classeurs	Avery Couverture de classeur. Recyclé	22.86	2	0	8.22	Non
Italie	Sud	MOB-ME-10003873	Mobilier	Meubles	Advantus Horloge. Noir	102.78	2	0	29.76	Non
France	Centre	FOU-CL-10002513	Fournitures de bureau	Classeurs	Wilson Jones Renforts de perforations. Recyclé	9.78	2	0	2.34	Non
Irlande	Nord	PRO-TÉ-10001419	Produits technologiques	Téléphones	Apple Smartphone. Bleu	184.95	3	0.5	-92.52	Non
Italie	Sud	MOB-CH-10002874	Mobilier	Chaises	Harbour Creations Chaise de plage. Noir	47.352	2	0.6	-60.408	Non
Belgique	Centre	FOU-CL-10001585	Fournitures de bureau	Classeurs	Acco Machine à relier. Recyclé	308.7	6	0	77.04	Non
Belgique	Centre	MOB-BI-10002873	Mobilier	Bibliothèques	Bush Bibliothèque classique. Blanc	2076	5	0	103.8	Non
Belgique	Centre	PRO-PH-10002350	Produits technologiques	Photocopieurs	Brother Photocopieur. Livré par deux	524.58	2	0	57.66	Non
Pays-Bas	Centre	PRO-TÉ-10004301	Produits technologiques	Téléphones	Motorola Casque. Bleu	119.61	3	0.5	-40.68	Non
Pays-Bas	Centre	MOB-ME-10000597	Mobilier	Meubles	Advantus Cadre. Noir	533.376	6	0.2	-0.144	Non
Allemagne	Centre	PRO-AC-10004183	Produits technologiques	Accessoires	Belkin Clavier. Durable	151.362	2	0.1	-5.058	Non
Allemagne	Centre	FOU-AR-10002809	Fournitures de bureau	Art	Binney & Smith Stylos. Emballage en vrac	146.52	12	0	0	Non
Allemagne	Centre	PRO-MA-10003889	Produits technologiques	Machines	Epson Calculatrice. Durable	46.53	1	0	12.54	Non
Allemagne	Centre	FOU-ST-10000826	Fournitures de bureau	Stockage	Fellowes Rayonnage. Métal	102.438	2	0.1	35.238	Non
Royaume-Uni	Nord	MOB-BI-10003787	Mobilier	Bibliothèques	Safco Bibliothèque classique. Classique	1314.45	3	0	341.73	Non
Royaume-Uni	Nord	MOB-CH-10002500	Mobilier	Chaises	Office Star Rocking chair. Rouge	704.55	5	0	288.75	Non
Royaume-Uni	Nord	FOU-AR-10000930	Fournitures de bureau	Art	BIC Carnet de croquis. Bleu	194.64	4	0	34.92	Non
Royaume-Uni	Nord	FOU-AR-10003728	Fournitures de bureau	Art	Sanford Stylos. Métal	37.08	3	0	10.35	Non
France	Centre	FOU-AR-10004380	Fournitures de bureau	Art	BIC Marqueurs. Emballage en vrac	106.8	4	0	29.88	Non
Allemagne	Centre	FOU-ÉL-10004844	Fournitures de bureau	Électroménager	Hamilton Beach Grille-pain. Noir	364.416	8	0.2	45.456	Non
Allemagne	Centre	FOU-ST-10000194	Fournitures de bureau	Stockage	Smead Rayonnage. Taille réelle	117.504	3	0.2	36.684	Non
Allemagne	Centre	FOU-ST-10004184	Fournitures de bureau	Stockage	Fellowes Dossiers. Bleu	63.36	3	0.2	23.76	Non
Italie	Sud	FOU-CL-10003023	Fournitures de bureau	Classeurs	Ibico Onglets. Économique	17.82	2	0	3.18	Non
Italie	Sud	FOU-ÉL-10003679	Fournitures de bureau	Éléments de fixation	OIC Colliers. Par paquet de 12	57.6	3	0	28.8	Non
France	Centre	FOU-CL-10000290	Fournitures de bureau	Classeurs	Wilson Jones Perforatrice. Durable	58.98	2	0	12.36	Non
France	Centre	FOU-ST-10003586	Fournitures de bureau	Stockage	Tenex Dossiers. Bleu	41.796	2	0.1	10.656	Non
Royaume-Uni	Nord	FOU-AR-10002251	Fournitures de bureau	Art	BIC Toile. Tailles assorties	102.384	2	0.1	-10.296	Non
France	Centre	FOU-AR-10000692	Fournitures de bureau	Art	BIC Toile. Emballage en vrac	107.94	2	0	36.66	Non
Allemagne	Centre	FOU-ÉL-10001706	Fournitures de bureau	Éléments de fixation	Advantus Colliers. Tailles assorties	117.18	7	0	15.12	Non
Espagne	Sud	PRO-PH-10001725	Produits technologiques	Photocopieurs	Sharp Encre. Couleur	125.85	1	0	59.13	Non
Espagne	Sud	FOU-AR-10004906	Fournitures de bureau	Art	BIC Taille-crayon. Tailles assorties	96.57	3	0	36.63	Non
Espagne	Sud	FOU-ST-10003586	Fournitures de bureau	Stockage	Tenex Dossiers. Bleu	104.49	5	0.1	26.64	Non
Espagne	Sud	FOU-EN-10004390	Fournitures de bureau	Enveloppes	Kraft Enveloppe interservices. Livré par 50	93.84	2	0	20.64	Non
Royaume-Uni	Nord	FOU-ÉL-10001086	Fournitures de bureau	Éléments de fixation	OIC Épingles. Emballage en vrac	28.14	2	0	10.38	Non
Royaume-Uni	Nord	MOB-CH-10002280	Mobilier	Chaises	Harbour Creations Dessous de siège. Réglable	74.49	2	0.5	-17.91	Non
